"","x","2"
"V65","item65","How important is it to work with external customers or the public in your job?"
"V66","item66","How frequently does your job require you to deal with physical aggression of violent individuals?"
"V67","item67","How frequently do you have to deal with unpleasant, angry, or discourteous individuals as part of your job requirements?"
"V68","item68","How often do you use electronic mail in your job?"
"V69","item69","How often do you have to have face-to-face discussions with individuals or teams in your job?"
"V70","item70","How often are there conflict situations you have to face in your job?"
"V71","item71","How often does your job require written letters and memos?"
"V72","item72","How often do you have to perform public speaking in your job?"
"V73","item73","How responsible are you for work outcomes and results of other workers?"
"V74","item74","How much responsibility is there for the health and safety of others in your job?"
"V75","item75","How often do you have telephone conversations in your job?"
"V76","item76","How important is it to work with others in a group or team in your job?"
"V77","item77","In your job, how often are you estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity?"
"V78","item78","In your job, how often are you observing, receiving, and otherwise obtaining information from all relevant sources?"
"V79","item79","In your job, how often are you identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events?"
"V80","item80","In your job, how often are you inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects?"
"V81","item81","In your job, how often are you monitoring and reviewing information from materials, events, or the environment, to detect or assess problems?"
"V82","item82","In your job, how often are you identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts?"
"V83","item83","In your job, how often are you establishing long-range objectives and specifying the strategies and actions to achieve them?"
"V84","item84","In your job, how often are you using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards?"
"V85","item85","In your job, how often are you assessing the value, importance, or quality of things or people?"
"V86","item86","In your job, how often are you analyzing information and evaluating results to choose the best solution and solve problems?"
"V87","item87","In your job, how often are you developing specific goals and plans to prioritize, organize, and accomplish your work?"
"V88","item88","In your job, how often are you compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data?"
"V89","item89","In your job, how often are you scheduling events, programs, and activities, as well as the work of others?"
"V90","item90","In your job, how often are you developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions?"
"V91","item91","In your job, how often are you keeping up-to-date technically and applying new knowledge to your job?"
"V92","item92","In your job, how often are you using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles)?"
"V93","item93","In your job, how often are you entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form?"
"V94","item94","In your job, how often are you providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used?"
"V95","item95","In your job, how often are you using hands and arms in handling, installing, positioning, and moving materials, and manipulating things?"
"V96","item96","In your job, how often are you using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information?"
"V97","item97","In your job, how often are you running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or water craft?"
"V98","item98","In your job, how often are you performing physical activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling of materials?"
"V99","item99","In your job, how often are you servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles?"
"V100","item100","In your job, how often are you servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles?"
"V101","item101","In your job, how often are you providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients?"
"V102","item102","In your job, how often are you identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills?"
"V103","item103","In your job, how often are you communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources? This information can be exchanged in person, in writing, or by telephone or e-mail?"
"V104","item104","In your job, how often are you providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person?"
"V105","item105","In your job, how often are you getting members of a group to work together to accomplish tasks?"
"V106","item106","In your job, how often are you encouraging and building mutual trust, respect, and cooperation among team members?"
"V107","item107","In your job, how often are you developing constructive and cooperative working relationships with others, and maintaining them over time?"
"V108","item108","In your job, how often are you providing guidance and direction to subordinates, including setting performance standards and monitoring performance?"
"V109","item109","In your job, how often are you translating or explaining what information means and how it can be used?"
"V110","item110","In your job, how often are you monitoring and controlling resources and overseeing the spending of money?"
"V111","item111","In your job, how often are you performing day-to-day administrative tasks such as maintaining information files and processing paperwork?"
"V112","item112","In your job, how often are you performing for people or dealing directly with the public? This includes serving customers in restaurants and stores, and receiving clients or guests."
"V113","item113","In your job, how often are you providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics?"
"V114","item114","In your job, how often are you handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others?"
"V115","item115","In your job, how often are you convincing others to buy merchandise/goods or to otherwise change their minds or actions?"
"V116","item116","In your job, how often are you recruiting, interviewing, selecting, hiring, and promoting employees in an organization?"
"V117","item117","In your job, how often are you identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others?"
"V118","item118","Think about how much decision making freedom, without supervision, your job offers...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V119","item119","Think about how often you are required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V120","item120","Think about the results your decisions usually have on other people or the image or reputation or financial resources of your employer...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V121","item121","Think about being highly accurate in performing your job...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V122","item122","Think about repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V123","item123","Think about competing or being aware of competitive pressures...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V124","item124","Think about your job being structured for you, rather than allowing you to determine tasks, priorities, and goals...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V125","item125","Think about the pace of work being determined by the speed of equipment or machinery... (This does not refer to keeping busy at all times on this job.)
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V126","item126","Think about the requirement to meet strict deadlines...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V127","item127","Think about how regular the work schedules are for your job...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V128","item128","Think about when your job requires working in cramped work spaces or getting into awkward positions...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V129","item129","Think about when your job requires working in a closed vehicle or equipment (e.g., car)...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V130","item130","Think about when your job requires working in an open vehicle or equipment (e.g., tractor)...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V131","item131","Think about how often your job requires working indoors in environmentally controlled conditions...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V132","item132","Think about when your job requires working indoors in non-controlled environmental conditions (e.g., warehouse without heat)...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V133","item133","Think about when your job requires working outdoors, exposed to all weather conditions...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V134","item134","Think about when your job requires working outdoors, under cover (e.g., structure with roof but no walls)...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V135","item135","Think about performing job tasks in close physical proximity to other people...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V136","item136","Think about working exposed to sounds and noise levels that are distracting or uncomfortable...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V137","item137","Think about bending or twisting your body...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V138","item138","Thinking about keeping or regaining your balance...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V139","item139","Thinking about kneeling, crouching, stooping or crawling...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V140","item140","Think about making repetitive motions...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V141","item141","Thinking about sitting...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V142","item142","Think about standing...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V143","item143","Think about using your hands to handle, control, or feel objects, tools or controls...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V144","item144","Think about walking and running...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V145","item145","Think about how much attention you are paying to this survey...
...as part of our quality assurance we need to measure how much attention you are paying while answering these questions. Please select 'Strongly agree' for this question."
"V146","item146","Think about working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V147","item147","Think about wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V148","item148","Think about wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V149","item149","Think about being in contact with others to perform your job...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V150","item150","Think about how important it is to coordinate or lead others in accomplishing work activities in your job...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V151","item151","Think about working with external customers or the public...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V152","item152","Think about dealing with unpleasant, angry, or discourteous individuals...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V153","item153","Thinking about using email...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V154","item154","Think about having face-to-face discussions with individuals or teams...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V155","item155","Think about conflict situations you have to face...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V156","item156","Think about communicating using written letters and memos...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V157","item157","Think about public speaking...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V158","item158","Think about your responsibility for work outcomes and results of other workers...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V159","item159","Think about your responsibility for the health and safety of others...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V160","item160","Think about when you have phone conversations...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V161","item161","Think about when working with others in a group or team...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V162","item162","Think about estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V163","item163","Think about observing, receiving, and otherwise obtaining information from all relevant sources...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V164","item164","Think about identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V165","item165","Think about inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V166","item166","Think about monitoring and reviewing information from materials, events, or the environment, to detect or assess problems...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V167","item167","Think about identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V168","item168","Think about establishing long-range objectives and specifying the strategies and actions to achieve them...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V169","item169","Think about using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V170","item170","Think about assessing the value, importance, or quality of things or people...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V171","item171","Think about analyzing information and evaluating results to choose the best solution and solve problems...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V172","item172","Think about developing specific goals and plans to prioritize, organize, and accomplish your work...
...this aspect of your job is a resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V173","item173","Think about compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V174","item174","Think about scheduling events, programs, and activities, as well as the work of others...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V175","item175","Think about developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V176","item176","Think about keeping up-to-date technically and applying new knowledge...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V177","item177","Think about using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles)...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V178","item178","Think about entering, transcribing, recording, storing, or maintaining information...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V179","item179","Think about providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V180","item180","Think about using your hands and arms in handling, installing, positioning, and moving materials, and manipulating things...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V181","item181","Think about the use of computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V182","item182","Think about the running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or water craft...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V183","item183","Think about the performing of physical activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling of materials...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V184","item184","Think about the servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V185","item185","Think about the servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V186","item186","Think about providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V187","item187","Think about identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V188","item188","Think about communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V189","item189","Think about providing information to supervisors, co-workers, and subordinates by telephone, in written form, email, or in person...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V190","item190","Think about getting members of a group to work together to accomplish tasks...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V191","item191","Think about your encouraging and building mutual trust, respect, and cooperation among team members...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V192","item192","Think about developing constructive and cooperative working relationships with others, and maintaining them over time...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V193","item193","Think about providing guidance and direction to subordinates, including setting performance standards and monitoring performance...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V194","item194","Think about translating or explaining what information means and how it can be used...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V195","item195","Think about monitoring and controlling resources and overseeing the spending of money...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V196","item196","Think about performing day-to-day administrative tasks such as maintaining information files and processing paperwork...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V197","item197","Think about performing for people or dealing directly with the public (This includes serving customers in restaurants and stores, and receiving clients or guests)...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V198","item198","Think about providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V199","item199","Think about handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V200","item200","Think about convincing others to buy merchandise/goods or to otherwise change their minds or actions...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V201","item201","Think about recruiting, interviewing, selecting, hiring, and promoting employees...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V202","item202","Think about identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others...
...this aspect of your job is a  resource that can be functional in achieving work goals, reduce job demands, or stimulate personal growth/development."
"V203","item203","Think about how much decision making freedom, without supervision, your job offers...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V204","item204","Think about how often you are required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V205","item205","Think about the results your decisions usually have on other people or the image or reputation or financial resources of your employer...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V206","item206","Think about being highly accurate in performing your job...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V207","item207","Think about repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V208","item208","Think about competing or being aware of competitive pressures...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V209","item209","Think about your job being structured for you, rather than allowing you to determine tasks, priorities, and goals...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V210","item210","Think about the pace of work being determined by the speed of equipment or machinery... (This does not refer to keeping busy at all times on this job.)
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V211","item211","Think about the requirement to meet strict deadlines...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V212","item212","Think about how regular the work schedules are for your job...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V213","item213","Think about when your job requires working in cramped work spaces or getting into awkward positions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V214","item214","Think about when your job requires working in a closed vehicle or equipment (e.g., car)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V215","item215","Think about when your job requires working in an open vehicle or equipment (e.g., tractor)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V216","item216","Think about how often your job requires working indoors in environmentally controlled conditions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V217","item217","Think about when your job requires working indoors in non-controlled environmental conditions (e.g., warehouse without heat)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V218","item218","Think about when your job requires working outdoors, exposed to all weather conditions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V219","item219","Think about when your job requires working outdoors, under cover (e.g., structure with roof but no walls)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V220","item220","Think about performing job tasks in close physical proximity to other people...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V221","item221","Think about working exposed to sounds and noise levels that are distracting or uncomfortable...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V222","item222","Think about bending or twisting your body...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V223","item223","Thinking about keeping or regaining your balance...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V224","item224","Thinking about kneeling, crouching, stooping or crawling...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V225","item225","Think about making repetitive motions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V226","item226","Thinking about sitting...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V227","item227","Think about standing...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V228","item228","Think about using your hands to handle, control, or feel objects, tools or controls...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V229","item229","Think about walking and running...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V230","item230","Think about working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V231","item231","Think about wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V232","item232","Think about wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V233","item233","Think about being in contact with others to perform your job...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
