"","item1","item2","missing","careless_long"
"145","2021-10-07 09:53:57","2021-10-07 10:23:08",112,23
"160","2021-10-07 09:42:18","2021-10-07 10:26:32",114,25
"182","2021-10-07 09:46:01","2021-10-07 10:35:42",192,21
"188","2021-10-07 09:12:35","2021-10-07 10:40:03",99,21
"190","2021-10-07 09:40:53","2021-10-07 10:40:38",144,23
"199","2021-10-07 10:01:27","2021-10-07 10:43:35",123,24
"260","2021-10-07 11:31:05","2021-10-07 11:33:54",386,1
"267","2021-10-07 11:30:11","2021-10-07 11:44:47",168,23
"271","2021-10-07 11:48:10","2021-10-07 11:49:46",386,1
"284","2021-10-07 09:38:37","2021-10-07 15:40:41",386,1
"4100","2021-10-07 08:41:27","2021-10-07 08:46:48",383,1
"1110","2021-10-07 08:53:53","2021-10-07 08:57:17",383,2
"1310","2021-10-07 08:54:24","2021-10-07 09:09:16",280,5
"1910","2021-10-07 08:55:42","2021-10-07 09:27:34",287,6
"2110","2021-10-07 08:56:48","2021-10-07 08:57:43",383,1
"2410","2021-10-07 08:57:23","2021-10-07 10:17:26",222,7
"3110","2021-10-07 09:00:29","2021-10-07 09:17:35",287,15
"4910","2021-10-07 09:05:23","2021-10-07 09:14:36",383,1
"521","2021-10-07 09:06:01","2021-10-07 11:19:56",383,1
"541","2021-10-07 09:06:38","2021-10-07 09:49:36",174,24
"571","2021-10-07 09:06:58","2021-10-07 09:25:12",287,4
"691","2021-10-07 09:09:28","2021-10-07 12:13:18",386,1
"721","2021-10-07 09:09:56","2021-10-07 09:42:35",96,24
"851","2021-10-07 09:13:41","2021-10-07 09:15:01",383,2
"911","2021-10-07 09:14:51","2021-10-07 11:04:37",87,24
"921","2021-10-07 09:15:10","2021-10-07 09:16:14",383,3
"1001","2021-10-07 09:17:16","2021-10-07 09:19:27",383,3
"1351","2021-10-07 09:24:02","2021-10-07 10:00:11",203,8
"1521","2021-10-07 09:26:44","2021-10-07 10:24:39",287,24
"1601","2021-10-07 09:27:47","2021-10-07 09:54:48",210,26
"1621","2021-10-07 09:27:59","2021-10-07 10:27:23",260,17
"1691","2021-10-07 09:29:08","2021-10-07 09:29:17",386,1
"1711","2021-10-07 09:29:30","2021-10-07 09:57:13",222,6
"1771","2021-10-07 09:30:16","2021-10-07 11:23:27",282,13
"1971","2021-10-07 09:33:57","2021-10-07 10:09:31",287,7
"2031","2021-10-07 09:35:45","2021-10-07 09:56:22",287,7
"2041","2021-10-07 09:35:48","2021-10-07 10:10:30",133,23
"2051","2021-10-07 09:35:49","2021-10-07 09:36:24",383,1
"2341","2021-10-07 09:39:21","2021-10-07 13:30:05",386,1
"2361","2021-10-07 09:39:32","2021-10-07 10:51:55",287,4
"2451","2021-10-07 09:40:13","2021-10-07 09:42:23",383,1
"2551","2021-10-07 09:42:12","2021-10-07 09:57:52",228,11
"2661","2021-10-07 09:43:23","2021-10-08 07:50:42",287,5
"2671","2021-10-07 09:44:05","2021-10-07 09:44:45",386,1
"2781","2021-10-07 09:45:16","2021-10-07 09:51:59",287,8
"294","2021-10-07 09:47:14","2021-10-07 10:02:39",287,10
"297","2021-10-07 09:47:53","2021-10-07 10:51:01",234,15
"305","2021-10-07 09:49:34","2021-10-07 10:22:44",141,24
"310","2021-10-07 09:49:58","2021-10-07 09:51:28",383,1
"311","2021-10-07 09:49:59","2021-10-07 09:51:56",383,4
"312","2021-10-07 09:50:02","2021-10-07 09:57:44",383,2
"318","2021-10-07 09:50:34","2021-10-07 09:52:47",386,1
"323","2021-10-07 09:50:47","2021-10-07 09:51:13",383,1
"331","2021-10-07 09:51:27","2021-10-07 10:41:25",237,17
"350","2021-10-07 09:53:34","2021-10-07 09:53:53",386,1
"362","2021-10-07 09:55:04","2021-10-07 10:17:31",215,7
"381","2021-10-07 09:57:24","2021-10-07 10:44:25",163,23
"383","2021-10-07 09:57:51","2021-10-07 10:14:24",280,9
"386","2021-10-07 09:58:03","2021-10-07 10:09:56",386,1
"391","2021-10-07 09:58:59","2021-10-07 09:59:50",386,1
"393","2021-10-07 09:59:11","2021-10-07 10:02:41",386,1
"401","2021-10-07 09:59:38","2021-10-07 10:38:33",147,22
"406","2021-10-07 09:59:51","2021-10-07 11:14:11",111,22
"407","2021-10-07 09:59:52","2021-10-07 12:20:15",260,13
"421","2021-10-07 10:04:36","2021-10-07 10:04:40",386,1
"423","2021-10-07 10:08:05","2021-10-07 10:09:37",386,1
"424","2021-10-07 10:15:43","2021-10-07 10:16:01",386,1
"425","2021-10-07 10:19:05","2021-10-07 10:19:51",386,1
"427","2021-10-07 10:23:36","2021-10-07 10:23:50",386,1
"428","2021-10-07 10:27:58","2021-10-07 10:28:30",386,1
"431","2021-10-07 10:41:33","2021-10-07 11:40:25",386,1
"432","2021-10-07 10:44:55","2021-10-07 10:46:58",383,1
"444","2021-10-07 10:59:17","2021-10-07 10:59:25",386,1
"454","2021-10-07 11:04:51","2021-10-07 11:05:10",386,1
"456","2021-10-07 11:06:13","2021-10-07 11:06:45",386,1
"459","2021-10-07 11:12:13","2021-10-07 11:13:43",386,1
"482","2021-10-07 11:36:05","2021-10-07 11:36:28",386,1
"494","2021-10-07 11:45:36","2021-10-07 11:56:48",383,2
"499","2021-10-07 12:00:13","2021-10-07 12:03:35",383,2
"505","2021-10-07 13:13:44","2021-10-07 13:13:51",386,1
"506","2021-10-08 09:37:25","2021-10-08 09:37:32",386,1
